game,level,number_nodes,number_edges,number_true_edges,number_normal_keys,number_boss_keys,number_key_items,number_switches,number_normal_locks,number_boss_locks,number_key_item_locks,number_switch_locks,avg_out_rank,avg_true_out_rank
The Legend of Zelda,LoZ_5,25,54,52,3,0,1,0,12,0,0,0,2.16,2.08
The Legend of Zelda,LoZ_7,35,76,76,4,0,1,0,10,0,0,0,2.1714285714285713,2.1714285714285713
The Legend of Zelda,LoZ2_6,30,66,66,3,0,1,0,6,0,20,0,2.2,2.2
The Legend of Zelda,LoZ_9,62,144,140,4,0,2,0,32,0,0,0,2.3225806451612905,2.2580645161290325
The Legend of Zelda,LoZ2_4,35,83,83,4,0,2,0,6,0,2,0,2.3714285714285714,2.3714285714285714
The Legend of Zelda,LoZ2_7,31,61,61,2,0,1,0,4,0,0,0,1.967741935483871,1.967741935483871
The Legend of Zelda,LoZ2_9,66,161,151,0,0,2,1,0,0,0,2,2.4393939393939394,2.287878787878788
The Legend of Zelda,LoZ_4,27,60,58,4,0,1,0,12,0,8,0,2.2222222222222223,2.1481481481481484
The Legend of Zelda,LoZ_6,27,58,58,4,0,1,0,10,0,0,0,2.1481481481481484,2.1481481481481484
The Legend of Zelda,LoZ2_2,23,51,49,8,0,1,0,8,0,0,0,2.217391304347826,2.130434782608696
The Legend of Zelda,LoZ_1,19,40,40,6,0,2,0,11,0,0,0,2.1052631578947367,2.1052631578947367
The Legend of Zelda,LoZ2_3,12,22,22,4,0,1,0,6,0,0,0,1.8333333333333333,1.8333333333333333
The Legend of Zelda,LoZ2_8,37,75,73,3,0,2,1,6,0,4,4,2.027027027027027,1.972972972972973
The Legend of Zelda,LoZ_8,28,58,58,6,0,2,0,6,0,0,0,2.0714285714285716,2.0714285714285716
The Legend of Zelda,LoZ_2,19,48,48,4,0,1,0,6,0,0,0,2.526315789473684,2.526315789473684
The Legend of Zelda,LoZ2_5,19,36,36,3,0,1,0,4,0,0,0,1.894736842105263,1.894736842105263
The Legend of Zelda,LoZ2_1,16,32,32,2,0,1,0,4,0,0,0,2,2
The Legend of Zelda,LoZ_3,20,44,42,5,0,1,0,8,0,0,0,2.2,2.1
The Legend of Zelda - Link to the Past,LttP_5,37,80,70,6,1,1,1,12,2,2,0,2.1621621621621623,1.8918918918918919
The Legend of Zelda - Link to the Past,LttP_2,31,66,62,4,1,1,0,8,2,1,0,2.129032258064516,2
The Legend of Zelda - Link to the Past,LttP_10,49,120,108,6,1,1,4,12,2,6,10,2.4489795918367347,2.204081632653061
The Legend of Zelda - Link to the Past,LttP_1,31,75,63,2,1,1,0,4,4,0,0,2.4193548387096775,2.032258064516129
The Legend of Zelda - Link to the Past,LttP_12,65,125,125,8,1,1,0,18,4,0,0,1.9230769230769231,1.9230769230769231
The Legend of Zelda - Link to the Past,LttP_6,38,88,78,7,1,1,3,16,0,4,6,2.3157894736842106,2.0526315789473686
The Legend of Zelda - Link to the Past,LttP_9,39,77,77,5,1,1,5,12,2,0,8,1.9743589743589745,1.9743589743589745
The Legend of Zelda - Link to the Past,LttP_3,14,31,29,1,1,1,0,5,2,0,0,2.2142857142857144,2.0714285714285716
The Legend of Zelda - Link to the Past,LttP_11,40,110,78,6,1,1,0,12,4,0,0,2.75,1.95
The Legend of Zelda - Link to the Past,LttP_8,31,66,60,3,1,1,3,6,2,4,4,2.129032258064516,1.935483870967742
The Legend of Zelda - Link to the Past,LttP_7,25,58,52,5,1,1,0,10,0,2,0,2.32,2.08
The Legend of Zelda - Link to the Past,LttP_4,20,38,38,4,0,0,0,8,0,0,0,1.9,1.9
The Legend of Zelda - Link's Awakening,LA_6,47,96,96,3,1,1,0,6,2,2,0,2.0425531914893615,2.0425531914893615
The Legend of Zelda - Link's Awakening,LA_4,35,88,70,5,1,1,1,8,2,14,0,2.5142857142857142,2
The Legend of Zelda - Link's Awakening,LA_3,41,104,83,8,1,1,1,16,2,6,2,2.5365853658536586,2.024390243902439
The Legend of Zelda - Link's Awakening,LA_5,45,100,96,3,1,1,3,6,0,19,6,2.2222222222222223,2.1333333333333333
The Legend of Zelda - Link's Awakening,LA_1,21,43,41,3,1,1,0,6,2,4,0,2.0476190476190474,1.9523809523809523
The Legend of Zelda - Link's Awakening,LA_7,54,114,114,0,1,1,11,0,2,0,22,2.111111111111111,2.111111111111111
The Legend of Zelda - Link's Awakening,LA_8,59,136,128,7,1,1,1,12,2,4,2,2.305084745762712,2.169491525423729
The Legend of Zelda - Link's Awakening,LA_2,27,57,55,6,1,1,1,10,2,4,2,2.111111111111111,2.037037037037037
